episode,reward,epsilon
0,-21.0,0.9992359
1,-19.0,0.9983233
2,-21.0,0.9975799
3,-19.0,0.996706
4,-20.0,0.9958276
5,-21.0,0.9951391
6,-20.0,0.9943615
7,-21.0,0.9936514
8,-21.0,0.992881
9,-21.0,0.9921583
10,-20.0,0.9914041
11,-21.0,0.9906751
12,-21.0,0.9898804
13,-21.0,0.9891217
14,-21.0,0.9883378
15,-21.0,0.9876484
16,-21.0,0.9869068
17,-21.0,0.9861121
18,-20.0,0.9851644
19,-21.0,0.9843238
20,-21.0,0.9836362
21,-21.0,0.9829495
22,-21.0,0.9822061
23,-21.0,0.9815194
24,-20.0,0.9806220999999999
25,-19.0,0.9796132
26,-21.0,0.9787438
27,-20.0,0.9779293
28,-21.0,0.9769843
29,-20.0,0.9761689
30,-21.0,0.9753742
31,-21.0,0.9746308
32,-21.0,0.9739459
33,-21.0,0.9729838
34,-21.0,0.9722728
35,-21.0,0.9714745
36,-21.0,0.9707338
37,-21.0,0.9700453
38,-21.0,0.9692632
39,-19.0,0.9683263
40,-20.0,0.9674866
41,-21.0,0.9666469
42,-21.0,0.9659584
43,-21.0,0.9651736
44,-19.0,0.9642754
45,-21.0,0.9635716
46,-21.0,0.9627976
47,-19.0,0.9619201
48,-19.0,0.9610192
49,-21.0,0.9601453
50,-21.0,0.9593308
51,-20.0,0.9585199
52,-21.0,0.9574912
53,-21.0,0.9567172
54,-20.0,0.9559603
55,-21.0,0.9552718
56,-21.0,0.9544249
57,-21.0,0.9536842
58,-21.0,0.9529615
59,-21.0,0.952147
60,-21.0,0.9513532
61,-20.0,0.950563
62,-21.0,0.9497503
63,-21.0,0.9489547
64,-21.0,0.9481987
65,-20.0,0.9474382
66,-21.0,0.9466714
67,-21.0,0.9459604
68,-20.0,0.9451315
69,-18.0,0.9440542
70,-20.0,0.9431848
71,-20.0,0.9423496
72,-21.0,0.9415279
73,-21.0,0.9407845
74,-21.0,0.9400735
75,-21.0,0.9393319
76,-20.0,0.9385741
77,-21.0,0.9377605
78,-20.0,0.9369325
79,-21.0,0.93619
80,-20.0,0.9353881
81,-21.0,0.934651
82,-20.0,0.9337978
83,-21.0,0.9331084
84,-21.0,0.9323281
85,-19.0,0.9313741
86,-21.0,0.9306046
87,-21.0,0.9298747
88,-20.0,0.9290062
89,-20.0,0.9282493
90,-18.0,0.9273493
91,-21.0,0.9266599
92,-21.0,0.9259192
93,-21.0,0.9252289
94,-21.0,0.924463
95,-21.0,0.923752
96,-21.0,0.9230644
97,-21.0,0.922348
98,-21.0,0.9216063999999999
99,-21.0,0.9209215
100,-20.0,0.9201637
101,-21.0,0.9194194
102,-21.0,0.9187345
103,-20.0,0.9178336
104,-20.0,0.9169228
105,-21.0,0.9160498
106,-20.0,0.915292
107,-19.0,0.9143326
108,-21.0,0.9135118
109,-21.0,0.9127558
110,-21.0,0.9119575
111,-21.0,0.9111988
112,-21.0,0.910342
113,-21.0,0.9095275
114,-21.0,0.9087022
115,-20.0,0.9079066
116,-20.0,0.9070966
117,-21.0,0.9062929
118,-21.0,0.9056053
119,-21.0,0.9048943
120,-21.0,0.9040717
121,-21.0,0.9032788
122,-21.0,0.9024103
123,-21.0,0.901666
124,-21.0,0.9009073
125,-21.0,0.9002026
126,-20.0,0.8994178
127,-21.0,0.8987158
128,-21.0,0.8980273
129,-21.0,0.8972317
130,-21.0,0.8965441
131,-21.0,0.8957485000000001
132,-21.0,0.8948827
133,-21.0,0.8941789
134,-20.0,0.893323
135,-20.0,0.892441
136,-21.0,0.8916751
137,-19.0,0.8907256
138,-21.0,0.8900128
139,-21.0,0.8892271
140,-21.0,0.8883766
141,-21.0,0.8874901
142,-19.0,0.8865631
143,-21.0,0.8858062
144,-21.0,0.8850214
145,-21.0,0.884278
146,-21.0,0.8834959
147,-20.0,0.8827372
148,-21.0,0.8819973999999999
149,-20.0,0.8812396
150,-21.0,0.8804791
151,-20.0,0.8795539
152,-20.0,0.8787277
153,-19.0,0.8777926
154,-21.0,0.8769988
155,-21.0,0.8761546
156,-21.0,0.8754508
157,-21.0,0.8746678
158,-21.0,0.873982
159,-21.0,0.8732746
160,-21.0,0.8725627
161,-20.0,0.8717572
162,-21.0,0.8710156
163,-21.0,0.8702191
164,-20.0,0.8694145
165,-20.0,0.8686297
166,-20.0,0.8678179
167,-21.0,0.8671294
168,-21.0,0.8664238
169,-21.0,0.865684
170,-19.0,0.8648434
171,-21.0,0.8640226
172,-20.0,0.8631316
173,-20.0,0.8623009
174,-21.0,0.8614495
175,-20.0,0.8605864
176,-20.0,0.8597197
177,-21.0,0.8590321
178,-19.0,0.8579989
179,-21.0,0.8572222
180,-21.0,0.8564806
181,-21.0,0.8556661
182,-21.0,0.8549083
183,-21.0,0.8541937
184,-21.0,0.8534809
185,-21.0,0.852769
186,-20.0,0.851995
187,-21.0,0.8512894
188,-21.0,0.8505298
189,-20.0,0.849772
190,-21.0,0.8490862
