episode,reward,epsilon
0,-1.0,0.9983962
1,-5.0,0.9967879
2,-13.0,0.9951796
3,-17.0,0.9935722
4,-2.0,0.9919657
5,2.0,0.9903583
6,-18.0,0.9887518
7,-3.0,0.9871444
8,-7.0,0.9855352
9,-26.0,0.9839287
10,-7.0,0.9823222
11,-25.0,0.9807148
12,-2.0,0.9791047
13,1.0,0.9774991
14,1.0,0.9758926
15,-8.0,0.9742825
16,-6.0,0.972676
17,-2.0,0.9710677
18,3.0,0.9694621
19,-3.0,0.9678538
20,-3.0,0.9662464
21,-11.0,0.964639
22,3.0,0.9630316
23,-3.0,0.961426
24,-7.0,0.9598186
25,-12.0,0.9582094
26,-1.0,0.956602
27,-2.0,0.9549937
28,-16.0,0.9533881
29,2.0,0.9517798
30,2.0,0.9501715
31,-13.0,0.9485659
32,-1.0,0.9469567
33,4.0,0.945352
34,-24.0,0.9437446
35,-1.0,0.9421372
36,-3.0,0.9405298
37,-11.0,0.9389206
38,-8.0,0.9373123
39,-1.0,0.9357076
40,-1.0,0.9340975
41,-10.0,0.9324919
42,-9.0,0.9308854
43,-2.0,0.9292753
44,0.0,0.9276697
45,-9.0,0.9260632
46,-5.0,0.9244549
47,-10.0,0.9228475
48,4.0,0.9212392
49,-27.0,0.9196327
50,-7.0,0.9180253
51,0.0,0.9164179
52,-2.0,0.9148105
53,-5.0,0.9132013
54,-1.0,0.9115939
55,-15.0,0.9099883
56,-18.0,0.9083791
57,-5.0,0.9067735
58,-9.0,0.9051643
59,-3.0,0.9035587
60,-9.0,0.9019513
61,1.0,0.9003439
62,-19.0,0.8987347
63,1.0,0.8971282
64,-27.0,0.8955217
65,2.0,0.8939152
66,0.0,0.8923078
67,-11.0,0.8906977
68,-5.0,0.889093
69,-3.0,0.8874847
70,0.0,0.8858764
71,-4.0,0.884269
72,-5.0,0.8826616
73,0.0,0.8810551
74,-3.0,0.8794476999999999
75,9.0,0.8778394
76,-2.0,0.8762311
77,-6.0,0.8746237
78,-2.0,0.8730163
79,-17.0,0.8714098
80,4.0,0.8698033
81,0.0,0.868195
82,-8.0,0.8665867
83,1.0,0.8649811000000001
84,-3.0,0.8633737
85,-24.0,0.8617645
86,-3.0,0.8601589000000001
87,-5.0,0.8585515
88,3.0,0.8569423
89,2.0,0.8553367000000001
90,-3.0,0.8537275
91,-6.0,0.8521201
92,4.0,0.8505145000000001
93,-2.0,0.8489062
94,-1.0,0.8472997
95,0.0,0.8456932
96,-19.0,0.8440858
97,-7.0,0.8424784
98,-3.0,0.8408683
99,1.0,0.8392627
100,0.0,0.8376544
101,-1.0,0.836047
102,3.0,0.8344387
103,1.0,0.8328313
104,-5.0,0.8312239
105,4.0,0.8296192
106,-1.0,0.8280109
107,-13.0,0.8264026
108,3.0,0.824797
109,-8.0,0.8231878
110,-9.0,0.8215813
111,-4.0,0.8199738999999999
112,-4.0,0.8183647000000001
113,2.0,0.8167599999999999
114,-6.0,0.8151508000000001
115,-1.0,0.8135434
116,-2.0,0.8119351
117,0.0,0.8103286000000001
118,-3.0,0.8087212
119,-9.0,0.8071155999999999
120,-1.0,0.8055082
121,-16.0,0.8038999
122,-3.0,0.8022907
123,-4.0,0.8006842000000001
124,4.0,0.7990786
125,5.0,0.7974703
126,-9.0,0.7958620000000001
127,-16.0,0.7942546
128,-10.0,0.7926481
129,1.0,0.7910398
130,-9.0,0.7894323999999999
131,-6.0,0.7878259
132,-15.0,0.7862167
133,-4.0,0.7846111
134,-7.0,0.7830028
135,-3.0,0.7813972
136,-12.0,0.7797889
137,-21.0,0.7781815
138,-9.0,0.7765732
139,-3.0,0.7749649
140,5.0,0.7733593
141,-2.0,0.7717528
142,-4.0,0.7701435999999999
143,1.0,0.7685362
144,10.0,0.7669288000000001
145,-1.0,0.7653232
146,-14.0,0.7637158
147,-3.0,0.7621066
148,-1.0,0.7605001
149,-9.0,0.7588936
150,2.0,0.7572862
151,-15.0,0.7556761
152,-4.0,0.7540696
153,2.0,0.7524622
154,1.0,0.7508539
155,-9.0,0.7492492
156,-6.0,0.7476418
157,-7.0,0.7460335
158,-6.0,0.744427
159,-10.0,0.7428169
160,1.0,0.7412113
161,0.0,0.7396039
162,-13.0,0.7379974
163,-8.0,0.7363873
164,-10.0,0.7347808
165,1.0,0.7331743
166,-12.0,0.7315651
167,-13.0,0.7299586
168,-7.0,0.7283503
169,-1.0,0.7267456
170,-2.0,0.7251364
171,3.0,0.723529
172,-5.0,0.7219234
173,-6.0,0.7203151
174,-7.0,0.7187068
175,-1.0,0.7170985000000001
176,-3.0,0.7154938
177,-5.0,0.7138837
178,-6.0,0.7122771999999999
179,-5.0,0.7106698
180,-1.0,0.7090642
181,-1.0,0.7074559
182,-2.0,0.7058485
183,-19.0,0.7042402
184,-2.0,0.7026328
